Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
39.2,21.9,70,95,455,0,1,electrical/clothing
39.2,21.9,70,95,452,0,1,electrical/clothing
39.2,21.9,70,92,444,0,1,electrical/clothing
39.2,21.9,70,97,450,0,1,electrical/clothing
39.1,21.9,70,93,446,0,1,electrical/clothing
39.1,21.9,70,92,445,0,1,electrical/clothing
39.2,21.9,70,95,437,0,1,electrical/clothing
39.2,21.9,70,101,453,0,1,electrical/clothing
39.2,21.9,70,98,449,0,1,electrical/clothing
39.2,21.9,70,96,445,0,1,electrical/clothing
39.2,21.9,70,102,452,0,1,electrical/clothing
39.2,21.9,70,95,453,0,1,electrical/clothing
39.2,21.9,71,96,449,0,1,electrical/clothing
39.2,21.9,70,96,446,0,1,electrical/clothing
39.2,21.9,70,96,444,0,1,electrical/clothing
39.2,21.9,71,94,441,0,1,electrical/clothing
39.2,21.9,71,96,442,0,1,electrical/clothing
39.2,21.9,70,99,442,0,1,electrical/clothing
39.2,21.9,70,92,443,0,1,electrical/clothing
39.2,21.9,70,92,446,0,1,electrical/clothing
39.3,22.0,70,91,439,0,1,electrical/clothing
39.2,22.0,71,101,446,0,1,electrical/clothing
39.2,21.9,70,93,438,0,1,electrical/clothing
39.2,21.9,71,94,441,0,1,electrical/clothing
39.2,22.0,70,93,446,0,1,electrical/clothing
39.2,21.9,70,88,435,0,1,electrical/clothing
39.2,22.0,71,90,437,0,1,electrical/clothing
39.2,22.0,70,90,442,0,1,electrical/clothing
39.2,21.9,70,92,442,0,1,electrical/clothing
39.2,21.9,70,97,452,0,1,electrical/clothing
39.2,21.9,70,102,450,0,1,electrical/clothing
39.2,21.9,71,98,452,0,1,electrical/clothing
39.2,21.9,71,104,459,0,1,electrical/clothing
39.2,21.9,71,101,455,0,1,electrical/clothing
39.3,22.0,71,109,459,0,1,electrical/clothing
39.2,21.9,70,108,452,0,1,electrical/clothing
39.3,22.0,70,101,450,0,1,electrical/clothing
39.3,21.9,70,104,455,0,1,electrical/clothing
39.2,21.9,71,102,449,0,1,electrical/clothing
39.2,21.9,71,105,455,0,1,electrical/clothing
39.2,22.0,71,106,452,0,1,electrical/clothing
39.3,22.0,71,105,452,0,1,electrical/clothing
39.3,22.0,71,111,455,0,1,electrical/clothing
39.2,21.9,71,115,457,0,1,electrical/clothing
39.2,21.9,70,109,457,0,1,electrical/clothing
39.2,21.9,71,113,447,0,1,electrical/clothing
39.3,22.0,71,107,452,0,1,electrical/clothing
39.3,22.0,70,108,447,0,1,electrical/clothing
39.3,22.0,70,109,443,0,1,electrical/clothing
39.2,21.9,70,115,452,0,1,electrical/clothing
39.2,22.0,71,112,436,0,1,electrical/clothing
39.2,22.0,71,112,446,0,1,electrical/clothing
39.2,22.0,71,110,445,0,1,electrical/clothing
39.2,22.0,71,108,434,0,1,electrical/clothing
39.2,22.0,71,113,455,0,1,electrical/clothing
39.2,22.0,71,109,455,0,1,electrical/clothing
39.2,22.0,71,105,434,0,1,electrical/clothing
39.2,22.0,71,109,452,0,1,electrical/clothing
39.2,22.0,70,104,444,0,1,electrical/clothing
39.2,22.0,71,106,443,0,1,electrical/clothing
39.2,22.0,71,105,441,0,1,electrical/clothing
39.2,22.0,71,111,448,0,1,electrical/clothing
39.2,22.0,70,111,452,0,1,electrical/clothing
39.2,22.0,71,104,440,0,1,electrical/clothing
39.2,22.0,71,109,437,0,1,electrical/clothing
39.2,22.0,71,105,443,0,1,electrical/clothing
39.2,22.0,71,107,446,0,1,electrical/clothing
39.2,22.0,71,109,455,0,1,electrical/clothing
39.2,22.0,71,110,447,0,1,electrical/clothing
39.2,22.0,71,108,448,0,1,electrical/clothing
39.2,22.0,71,113,453,0,1,electrical/clothing
39.2,22.0,71,113,448,0,1,electrical/clothing
39.2,22.0,71,109,446,0,1,electrical/clothing
39.2,22.0,71,111,445,0,1,electrical/clothing
39.2,22.0,71,110,449,0,1,electrical/clothing
39.2,22.0,71,115,445,0,1,electrical/clothing
39.2,22.0,71,113,452,0,1,electrical/clothing
39.2,22.0,71,114,456,0,1,electrical/clothing
39.2,22.0,71,107,443,0,1,electrical/clothing
39.2,22.0,71,114,447,0,1,electrical/clothing
39.2,22.0,71,108,450,0,1,electrical/clothing
39.2,22.0,71,112,451,0,1,electrical/clothing
39.2,22.0,71,111,452,0,1,electrical/clothing
39.2,22.0,71,117,449,0,1,electrical/clothing
39.2,22.0,71,113,452,0,1,electrical/clothing
39.2,22.0,71,112,449,0,1,electrical/clothing
39.2,22.0,71,111,450,0,1,electrical/clothing
39.2,22.0,71,116,444,0,1,electrical/clothing
39.2,22.0,71,109,441,0,1,electrical/clothing
39.2,22.0,71,113,435,0,1,electrical/clothing
39.2,22.0,71,108,432,0,1,electrical/clothing
39.2,22.0,71,114,437,0,1,electrical/clothing
39.2,22.0,71,109,436,0,1,electrical/clothing
39.2,22.0,71,106,441,0,1,electrical/clothing
39.2,22.0,71,105,444,0,1,electrical/clothing
39.2,22.0,71,110,444,0,1,electrical/clothing
39.2,22.0,71,114,446,0,1,electrical/clothing
39.2,22.0,71,112,446,0,1,electrical/clothing
39.2,22.0,71,113,435,0,1,electrical/clothing
39.2,22.0,71,110,445,0,1,electrical/clothing
39.2,22.0,71,111,440,0,1,electrical/clothing
39.2,22.0,71,111,443,0,1,electrical/clothing
39.2,22.0,71,108,443,0,1,electrical/clothing
39.2,22.0,71,116,447,0,1,electrical/clothing
39.2,22.0,71,112,445,0,1,electrical/clothing
39.1,22.0,71,109,439,0,1,electrical/clothing
39.1,22.0,71,116,440,0,1,electrical/clothing
39.2,22.0,71,109,445,0,1,electrical/clothing
39.2,22.0,71,113,451,0,1,electrical/clothing
39.2,22.0,71,113,452,0,1,electrical/clothing
39.1,22.0,71,114,443,0,1,electrical/clothing
39.2,22.0,71,117,449,0,1,electrical/clothing
39.2,22.0,71,112,447,0,1,electrical/clothing
39.2,22.0,71,118,450,0,1,electrical/clothing
39.2,22.0,71,119,446,0,1,electrical/clothing
39.2,22.0,71,118,443,0,1,electrical/clothing
